detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
EMP-003-001,EMP-003,fact,1,The method,Correspondence studies send matched CVs differing only in name and measure callback rates. The design is well established across many labour markets.,*,2000-2026,iranian_men,0,0,,0,0,,3,,estimate,medium,,,,"The METHOD is well established; I have not verified an Iranian-specific study here. Layer-5 target: locate audit studies covering Iranian or Persian names specifically, rather than generalising from Arab/Muslim-name studies, which is a different population."
EMP-003-002,EMP-003,fact,2,Anglicising the name,"Many people adopt a shortened or Anglicised name on the CV. Where it works, it is evidence the discrimination was real; the cost is carried privately.",*,2000-2026,iranian_men,0,0,,0,0,,4,Editing your own name to be employable.,estimate,low,,,,
EMP-003-003,EMP-003,fact,3,Compounding with the gap year,"An applicant delayed two years by security screening also carries an unexplained employment gap, which is independently penalised.",*,2000-2026,iranian_men,0,0,,0,0,,4,,estimate,low,,,,
EMP-003-004,EMP-003,scenario,3,SCENARIO - the unexplained gap,"Omid's CV has a 26-month gap where a security screening ran. Every interviewer asks about it. 'I was waiting for a government decision' sounds, to a hiring manager who has never waited for one, like an evasion.",*,2000-2026,iranian_men,0,0,,0,0,,5,"Penalised twice: once for the delay, once for having to describe it.",estimate,low,,,,
EMP-003-005,EMP-003,fact,1,The meta-analytic number,"Worldwide experimental data show minority-signalling candidates receive on average 29% fewer positive responses, with penalties as high as 41% for Arab applicants and as low as 8% for Hispanic applicants. Middle Easterners consistently rank among the most penalised groups.",*,2000-2026,iranian_men,0,0,,0,0,,5,Not a feeling. A measured coefficient.,official,high,Meta-analysis of correspondence audit studies,https://sociation.ncsociologyassoc.org/wp-content/uploads/2019/12/hiringdiscrimination_final.pdf,,"ANSWERS EMP-003-001, partly. See the row below for the Iranian-specific gap."
EMP-003-006,EMP-003,fact,1,NO study isolates Persian or Iranian names,"Audit studies fold Iranians into a broad 'Middle Eastern' or 'Arab/Muslim' treatment. There is no dedicated experiment separating Persian names - a real limitation, given Iranians are not Arab.",*,2000-2026,iranian_men,0,0,,0,0,,5,Measured as a category you are not a member of.,official,high,Review of correspondence audit literature,https://sociation.ncsociologyassoc.org/wp-content/uploads/2019/12/hiringdiscrimination_final.pdf,,"ANSWERS EMP-003-001. This is also the empirical version of PSY-009: the conflation is not only cultural, it is baked into the research."
EMP-003-007,EMP-003,example,2,"EXAMPLE - Sweden, 2007",Candidates with Swedish names received 50% more callbacks than those with Middle Eastern names.,SE,2007,iranian_men,0,0,,0,0,,5,,official,medium,,,,
EMP-003-008,EMP-003,example,2,"EXAMPLE - Australia, Booth et al. 2012","A large audit using Anglo-Saxon, Indigenous, Italian, Chinese and Middle Eastern names on otherwise identical entry-level CVs - all showing Australian schooling - found economically and statistically significant callback differences, with Italians facing less discrimination than Chinese and Middle Easterners.",AU,2012,iranian_men,0,0,,0,0,,5,,official,high,,,,
EMP-003-009,EMP-003,example,2,"EXAMPLE - United States, Widner & Chicoine 2011","Using a Bertrand-Mullainathan design, résumés with Arabic names received fewer callbacks than white-sounding names. Derous et al. (2009) found moderate discrimination against Arabic names in a résumé-sorting task.",US,2009-2011,iranian_men,0,0,,0,0,,5,,official,high,,,,
EMP-003-010,EMP-003,fact,3,Pronounceability is a separate penalty,"Applicants are less likely to be called back when their names are difficult to pronounce - a finding that holds within immigrant groups, so it operates independently of ethnic animus. Persian names vary widely in distinctiveness and pronounceability, from Reza to Darius.",*,2000-2026,iranian_men,0,0,,0,0,,4,Penalised for the number of syllables.,official,medium,Hamilton College working paper on name pronunciation,https://people.hamilton.edu/documents/Name%20Pronunciation%20February%202%202022.pdf,,
EMP-003-011,EMP-003,fact,3,Callback gaps understate the real gap,"Quillian et al. (2020) document larger majority-minority differences at the job-offer stage than at callback - so audit studies, which measure only the first screen, are conservative estimates.",*,2000-2026,iranian_men,0,0,,0,0,,5,,official,high,,,,
EMP-003-012,EMP-003,fact,4,The honest counter-argument,"Darolia et al. (2016) found no callback discrimination across 9,000 résumés when pairing typically-white first names with typically-black last names - though critics argue the name signals may have been misread nearly 60% of the time. The debate about signal strength applies directly to Persian names.",*,2000-2026,iranian_men,0,0,,0,0,,3,,official,medium,,,,Included for balance. The effect is well established; the magnitude is genuinely contested.
