detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
PSY-009-001,PSY-009,fact,1,"The conflation, named by scholars",Evelyn Alsultany: 'It is commonly assumed that Iranians and Pakistanis are Arab and that all Arabs are Muslim and all Muslims Arab.' Farsi belongs to the Indo-European family; Arabic is Semitic. The overgeneralisation erases cultural distinctions and feeds prejudice.,*,2000-2026,iranian_men,0,0,,0,0,,5,Judged as a member of a group you are not in.,official,high,"Evelyn Alsultany, via Inverse Journal",https://www.inversejournal.com/2020/05/27/representations-of-arabs-muslims-and-iranians-in-an-era-of-complex-characters-and-storylines-by-evelyn-alsultany/,,
PSY-009-002,PSY-009,example,1,EXAMPLE - Not Without My Daughter (1991),The New York Times' Caryn James wrote that it 'exploits the stereotype of the demonic Iranian'. The Los Angeles Times called it 'unbalanced and distorted' for failing to distinguish the Iranian state from the Iranian people. Roger Ebert said it made 'moral and racial assertions that are deeply troubling' and 'does not play fair with its Muslim characters'.,US,1991,iranian_men,0,0,,0,0,,5,,official,high,"Not Without My Daughter, critical reception",https://en.wikipedia.org/wiki/Not_Without_My_Daughter_(film),,
PSY-009-003,PSY-009,example,1,EXAMPLE - the academic reading is the point exactly,A UC Irvine analysis argues Americans took the account not as a memoir of domestic discord but as an authentic representation of Iranian practice - and that the husband's violence is framed in the film as 'the pinnacle of Iranian masculinity'.,US,2000-2026,iranian_men,0,0,,0,0,,5,"One man's violence, presented as the definition of your gender and nationality at once.",official,high,UC Irvine UROP analysis,https://core.humanities.uci.edu/wp-content/uploads/2020/02/UROP2020_Fardi.pdf,,
PSY-009-004,PSY-009,example,2,"EXAMPLE - an albatross, by name","Reza Aslan has described the film as an 'albatross' for many Iranians in the US, saying it reinforced stereotypes of abusive Iranian men and an oppressive Islamic society. It flopped - and for years was one of the only American films about Iran, which is why it mattered.",US,2000-2026,iranian_men,0,0,,0,0,,5,"A bad film nobody liked, doing forty years of damage because it was the only one.",official,high,Yahoo Entertainment,https://www.yahoo.com/entertainment/the-39-not-without-my-daughter-1341779158679606.html,,
PSY-009-005,PSY-009,example,2,EXAMPLE - it was not even filmed there,"The film was shot largely in Israel, with Russian extras cast as Iranian citizens in crowd scenes.",*,1991,iranian_men,0,0,,0,0,,4,Not one Iranian in the crowd.,official,high,Not Without My Daughter (film),https://en.wikipedia.org/wiki/Not_Without_My_Daughter_(film),,
PSY-009-006,PSY-009,example,3,EXAMPLE - and it kept being shown,"It has been screened in schools and re-aired on television, and was shown in Paris the night before the 1998 USA v Iran World Cup match. When Iranian communities objected, one journalist told them to 'shut up', arguing the film was so unremarkable the grievance was illogical.",*,1998,iranian_men,0,0,,0,0,,5,Objecting to it is reframed as your oversensitivity.,official,high,Not Without My Daughter (film),https://en.wikipedia.org/wiki/Not_Without_My_Daughter_(film),,
PSY-009-007,PSY-009,example,3,EXAMPLE - the lineage,"Ajam Media Collective traces the line: Not Without My Daughter's husband turning zealot, 300 casting ancient Persians as the enemies of the West, and Argo collapsing Iranians into a faceless mob - together building a picture of a people stripped of ordinary inner life.",*,2000-2026,iranian_men,0,0,,0,0,,5,Three decades of being scenery in someone else's story.,journalism,medium,Ajam Media Collective - Reel Bad Iranians,https://ajammc.com/2026/09/05/reel-bad-iranians/,,
PSY-009-008,PSY-009,example,4,"EXAMPLE - the escape hatch, and its price","Many young Iranian Americans feel caught between two stereotypes - the bearded fanatic and the materialistic gold-wearing 'Persian' - and many choose the second. Maz Jobrani's joke, 'I'm not Iranian, I'm Persian', names it. Some note that 'Persian' is itself a label imposed from outside.",US,2000-2026,iranian_men,0,0,,0,0,,5,Escaping one caricature by adopting another.,journalism,medium,PBS Frontline Tehran Bureau,https://www.pbs.org/wgbh/pages/frontline/tehranbureau/2010/08/post-2.html,,
PSY-009-009,PSY-009,fact,4,Better writing does not fix it,"Alsultany warns that 'simplified complex representations' do not challenge stereotypes but affirm them under the guise of cultural sensitivity - reassuring audiences that racial sensitivity is the norm while still presenting Iranians, Arabs and Muslims as national security threats.",*,2000-2026,iranian_men,0,0,,0,0,,5,The sympathetic portrayal that leaves the conclusion intact.,official,high,Evelyn Alsultany,https://www.inversejournal.com/2020/05/27/representations-of-arabs-muslims-and-iranians-in-an-era-of-complex-characters-and-storylines-by-evelyn-alsultany/,,
PSY-009-010,PSY-009,scenario,5,SCENARIO - the thing his girlfriend's father said,"Maryam's Canadian boyfriend's father is friendly all evening and then says, meaning it warmly, that Omid seems 'very Westernised, not like you'd expect'. It is intended as the highest compliment available. Omid thanks him.",*,2000-2026,iranian_men,0,0,,0,0,,5,Praised for the distance between you and what they assumed.,estimate,low,,,,
PSY-009-011,PSY-009,scenario,5,SCENARIO - the kindness that reads as strategy,"Omid is careful, soft-spoken and does most of the cooking. A colleague tells him, admiringly, that he is 'not like other Middle Eastern guys'. He has never been a Middle Eastern guy. He is Iranian, and he was raised by a chemistry teacher in Karaj who cried at weddings.",*,2000-2026,iranian_men,0,0,,0,0,,5,"Your actual personality, received as an exception to a rule about you.",estimate,low,,,,
