detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
NAM-002-001,NAM-002,example,1,EXAMPLE - the typo on the residence permit,"A misspelling on an immigration document is not a cosmetic problem: the document is the identity. Every subsequent record is created from it, so the error replicates into tax, health, banking and employment.",*,2000-2026,iranian_men,0,0,,0,0,,5,Living under a spelling you never chose.,estimate,medium,,,,
NAM-002-002,NAM-002,example,2,EXAMPLE - correcting it is treated as suspicious,Requesting a correction generates a change-of-name event in systems designed to flag exactly that - so fixing a clerk's typo can trigger the fraud checks that the typo itself never did.,*,2000-2026,iranian_men,0,0,,0,0,,5,Punished for asking them to fix their mistake.,estimate,medium,,,,
NAM-002-003,NAM-002,example,2,EXAMPLE - the credit file splits in two,"Two spellings produce two thin credit files instead of one good one. The applicant appears to have no history, is refused, and cannot see why.",*,2000-2026,iranian_men,500,5000,"Higher rates, refused products, required deposits.",180,730,,5,,estimate,medium,,,,
NAM-002-004,NAM-002,example,3,EXAMPLE - the credit file merges with a stranger,The opposite failure: fuzzy matching attaches another person's accounts or defaults to your file because the names are close enough. The burden of disproving someone else's debt falls on you.,*,2000-2026,iranian_men,0,20000,,90,730,,5,Refused a mortgage over a stranger's arrears.,estimate,low,,,,
NAM-002-005,NAM-002,example,3,EXAMPLE - the medical record that is not yours,"Health systems match on name and date of birth. A split record means a missing history; a merged record means someone else's allergies, results and medications attached to your file.",*,2000-2026,iranian_men,0,0,,0,0,,5,A clinical risk created by a spelling.,estimate,low,,,,
NAM-002-006,NAM-002,example,4,EXAMPLE - the tax filing rejected,"Tax authorities match name against the number. A mismatch rejects the filing, which can cascade into penalties, withheld refunds and a compliance record that later immigration applications ask about.",*,2000-2026,iranian_men,100,3000,,30,365,,4,,estimate,low,,,,
NAM-002-007,NAM-002,example,4,EXAMPLE - the background check comes back empty,"A police or employment background check run against a misspelled name returns 'no record found', which is read not as clean but as unverifiable - and an unverifiable applicant is a rejected applicant.",*,2000-2026,iranian_men,0,0,,0,0,,5,A clean record that cannot be found is worse than a bad one.,estimate,medium,,,,
NAM-002-008,NAM-002,example,5,EXAMPLE - the child's surname does not match the parent's,"Where a child's document was issued with a different romanisation from the parent's, proof of the relationship is questioned - at a school, a hospital, a border, or in a family reunification application.",*,2000-2026,iranian_men,0,0,,0,0,,5,Asked to prove your own child is yours.,estimate,medium,,,,
NAM-002-009,NAM-002,scenario,3,"SCENARIO - two credit files, no credit",Omid's bank has him as OMID HOSEINI; his employer's payroll reports OMID HOSSEINI to the credit bureau. After three years of perfect payments he applies for a car loan and is told he has insufficient credit history. Both files are eighteen months thin. Neither is wrong.,*,2000-2026,iranian_men,1200,4000,"Higher rate over the loan term, or refusal.",180,540,,5,"Three years of good behaviour, split in half.",estimate,low,,,,
NAM-002-010,NAM-002,scenario,4,SCENARIO - the allergy that was not his,A hospital matches Omid to an existing record for an OMID HOSSEINI with the same birth year. The chart lists a penicillin allergy he does not have and omits the beta blocker he does take. He notices because a nurse reads it back to him. Nobody can tell him how long the records have been merged.,*,2000-2026,iranian_men,0,0,,0,0,,5,A clinical near-miss produced by a spelling.,estimate,low,,,,
NAM-002-011,NAM-002,scenario,5,SCENARIO - proving his daughter is his,"Omid's daughter is registered in Canada as SARA HOSSEINI. His own permit says HOSEINI. At a border crossing returning from Buffalo, an officer asks him to step aside and establish the relationship. He has no long-form birth certificate with him. It takes ninety minutes and his daughter cries.",*,2000-2026,iranian_men,0,0,,0,0,,5,"Asked to prove your child is yours, in front of her.",estimate,low,,,,
