detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
BOR-004-001,BOR-004,fact,1,The pattern,"From August 2019 to January 2020 at least 16 Iranian students were detained and deported after arriving at US airports despite holding valid student visas. Boston Logan was the focal point - at least 10 sent back from August 2019, more than seven through Logan.",US,2019-2020,iranian_men,0,0,,0,0,,5,"Vetted, approved, flown, refused.",journalism,high,Deportation of Iranian students at US airports,https://en.wikipedia.org/wiki/Deportation_of_Iranian_students_at_US_airports,,
BOR-004-002,BOR-004,example,1,"EXAMPLE - Shahab Dehghani, deported against a court order",Dehghani arrived at Logan on 19 January 2020 to study at Northeastern. CBP detained and questioned him for hours then revoked the student visa the State Department had granted after a year of intense vetting. A federal judge issued an emergency stay delaying removal for two days. CBP put him on a flight to Iran anyway. His attorney said he was removed without access to his lawyer and without being told the basis.,US,2020,iranian_men,2000,20000,"Flights, tuition deposit, legal fees, lost year.",365,365,"An academic year, gone.",5,A federal court order ignored in real time.,journalism,high,ACLU,https://www.aclu.org/news/immigrants-rights/cbp-deported-an-iranian-student-with-valid-visa-defying-court-order,2020-01,
BOR-004-003,BOR-004,example,2,"EXAMPLE - the justification, offered afterwards","A DHS official later told WBUR that CBP denied Dehghani entry because they believed his immediate family had ties to the IRGC, and claimed family ties to a transport company sanctioned in 2010. His attorney denied any grounds of inadmissibility existed.",US,2020,iranian_men,0,0,,0,0,,5,"Excluded for his relatives, told only via the press.",journalism,high,WBUR,https://www.wbur.org/news/2020/01/22/deported-iranian-student-allegations,,
BOR-004-004,BOR-004,example,2,EXAMPLE - protesters filled the terminal,"Crowds gathered at Boston Logan in protest while he was held, which did not stop the removal.",US,2020,iranian_men,0,0,,0,0,,4,,journalism,high,Newsweek,https://www.newsweek.com/iranian-northeastern-university-student-detained-boston-logan-airport-cbp-shahab-dehghani-1483158,,
BOR-004-005,BOR-004,example,2,"EXAMPLE - Harvard Divinity School, 2019",Attorney Susan Church also represented an Iranian student hoping to attend Harvard Divinity School who was denied entry at Logan in 2019. A 35-year-old traveller denied entry in September 2019 had her visa revoked and was placed on a removal flight.,US,2019,iranian_men,0,0,,0,0,,5,,journalism,high,WBUR,https://www.wbur.org/news/2020/01/21/iranian-northeastern-cbp-immigration-deportation-shahab-dehghani-boston-logan,,
BOR-004-006,BOR-004,fact,3,The numbers behind it,"Iranians turned away at the US border rose more than 150% from 2015 to 2019 - 736 to 1,895 - even as Iranian student and exchange visitors fell 43%. More refusals from a smaller pool.",US,2015-2019,iranian_men,0,0,,0,0,,5,,journalism,high,Boston Globe,https://www.bostonglobe.com/2021/01/18/metro/they-were-accepted-american-colleges-followed-rules-get-student-visas-then-they-were-deported/,2021-01-18,
BOR-004-007,BOR-004,example,3,CBP's framing,A CBP spokesman said less than one percent of Iranian passengers arriving at Boston were deported in 2019 - a denominator chosen to make the number small.,US,2019,iranian_men,0,0,,0,0,,4,"True, and beside the point.",journalism,high,WBUR,https://www.wbur.org/news/2020/01/22/deported-iranian-student-allegations,,
BOR-004-008,BOR-004,fact,4,It kept going under a new administration,"A January 2021 Boston Globe investigation found the practice continuing via expedited removal, with Logan a hotbed of litigation over these cases.",US,2021,iranian_men,0,0,,0,0,,5,,journalism,high,Boston Globe,https://www.bostonglobe.com/2021/01/18/metro/they-were-accepted-american-colleges-followed-rules-get-student-visas-then-they-were-deported/,,
BOR-004-009,BOR-004,example,4,The lawyers think the count is higher,"The AILA New England chair suggested the real number could be as high as two dozen, because deportations are not always public.",US,2000-2026,iranian_men,0,0,,0,0,,4,,journalism,medium,WBUR,https://www.wbur.org/news/2020/01/21/iranian-northeastern-cbp-immigration-deportation-shahab-dehghani-boston-logan,,
BOR-004-010,BOR-004,fact,5,Expedited removal carries a five-year bar,"Removal at the border is not simply being sent home - expedited removal normally triggers a multi-year bar on return, so a single airport decision closes the country for years.",US,2000-2026,iranian_men,0,0,,1825,1825,Standard bar following expedited removal.,5,"One officer, one shift, five years.",legal,medium,,,,
